Task,Iteration,Bank size,Total programs,Valid sequences,Took without embedding,Took with embedding
binary_search_tree_delete_two_children.sy,1,6,10,10,0.02,0.01
binary_search_tree_delete_two_children.sy,2,27,312,220,0.00,0.01
binary_search_tree_delete_two_children.sy,3,270,38686,2904,0.00,0.13
binary_search_tree_delete_two_children.sy,4,4192,9695374,63096,0.06,12.06
graph_cycle.sy,1,7,399,399,0.03,0.03
graph_cycle.sy,2,36,30380,15500,0.01,0.20
graph_cycle.sy,3,447,36674080,4890793,0.17,40.87
graph_one_way_connected.sy,1,7,399,399,0.03,0.03
graph_one_way_connected.sy,2,32,20058,15463,0.01,0.19
graph_one_way_connected.sy,3,345,13180104,6874103,0.10,30.65
graph.sy,1,7,399,399,0.02,0.02
graph.sy,2,32,20058,17812,0.01,0.14
graph.sy,3,364,14566509,9903569,0.07,33.97
user_names_aliasing.sy,1,7,399,399,0.02,0.02
user_names_aliasing.sy,2,41,60480,60480,0.01,0.09
user_names_aliasing.sy,3,2168,2545105770,2388489168,6.05,1674.74
user_names_connected.sy,1,8,583,583,0.03,0.03
user_names_connected.sy,2,42,65056,65056,0.01,0.21
user_names_connected.sy,3,2167,2539512698,2382922797,6.81,1563.15
x_y_mut_inc.sy,1,6,258,258,0.03,0.01
x_y_mut_inc.sy,2,64,198268,125832,0.01,0.11
set_subtree.sy,1,6,258,258,0.03,0.01
set_subtree.sy,2,56,160166,97739,0.02,0.58
seq.sy,1,6,258,258,0.04,0.01
seq.sy,2,51,119838,79715,0.01,0.12
FirstAndLast.sy,1,5,155,155,0.03,0.01
FirstAndLast.sy,2,47,93040,42244,0.01,0.08
FirstAndLast.sy,3,2584,2670099547,804930138,7.09,763.77
IsAllPositive.sy,1,5,155,155,0.02,0.01
IsAllPositive.sy,2,46,87009,36956,0.01,0.11
IsAllPositive.sy,3,3085,3431476913,788833405,8.49,680.01
user_names_simple.sy,1,7,399,399,0.03,0.01
user_names_simple.sy,2,41,60480,60480,0.01,0.08
user_names_simple.sy,3,2166,2522801618,2367694984,6.25,1271.26
abcd.sy,1,8,584,584,0.03,0.01
abcd.sy,2,177,1270877,985487,0.01,0.81
abc.sy,1,7,399,399,0.03,0.01
abc.sy,2,132,812685,624857,0.01,0.54
ab.sy,1,6,258,258,0.03,0.00
MoveFromAToB.sy,1,6,258,258,0.03,0.01
MoveFromAToB.sy,2,61,208661,127116,0.01,0.17
count-total-words-in-a-cellmodified.sy,1,5,155,155,0.03,0.01
count-total-words-in-a-cellmodified.sy,2,37,43977,36315,0.01,0.07
NegativeIndex.sy,1,6,258,258,0.03,0.01
NegativeIndex.sy,2,66,266038,206395,0.01,0.21
