Task,Iteration,Bank size,Total programs,Valid sequences,Took without embedding,Took with embedding
binary_search_tree_delete_two_children.sy,1,6,10,10,0.02,0.01
binary_search_tree_delete_two_children.sy,2,27,312,220,0.01,0.01
binary_search_tree_delete_two_children.sy,3,270,38686,2904,0.00,0.12
binary_search_tree_delete_two_children.sy,4,4188,9695374,63096,0.05,11.04
graph_cycle.sy,1,7,399,399,0.02,0.03
graph_cycle.sy,2,36,30380,15431,0.01,0.20
graph_cycle.sy,3,440,37006415,4970792,0.19,40.66
graph_one_way_connected.sy,1,7,399,399,0.02,0.02
graph_one_way_connected.sy,2,31,17898,13665,0.02,0.15
graph_one_way_connected.sy,3,347,12849959,6673484,0.10,29.87
graph.sy,1,7,399,399,0.02,0.02
graph.sy,2,32,20058,17789,0.01,0.15
graph.sy,3,365,14566509,9904477,0.11,35.05
user_names_aliasing.sy,1,7,399,399,0.02,0.02
user_names_aliasing.sy,2,41,60480,60480,0.01,0.08
user_names_aliasing.sy,3,2192,2545105770,2388752098,5.69,1677.72
user_names_connected.sy,1,8,583,583,0.03,0.03
user_names_connected.sy,2,42,65056,65056,0.01,0.17
user_names_connected.sy,3,2191,2550697512,2393161338,7.39,1677.98
x_y_mut_inc.sy,1,6,258,258,0.02,0.01
x_y_mut_inc.sy,2,66,198268,125461,0.01,0.13
set_subtree.sy,1,6,258,258,0.03,0.01
set_subtree.sy,2,56,160166,97638,0.02,0.63
seq.sy,1,6,258,258,0.03,0.01
seq.sy,2,51,119838,79438,0.01,0.12
FirstAndLast.sy,1,5,155,155,0.03,0.01
FirstAndLast.sy,2,47,93040,42093,0.01,0.10
FirstAndLast.sy,3,2572,2687459278,808271814,7.48,797.92
IsAllPositive.sy,1,5,155,155,0.03,0.01
IsAllPositive.sy,2,46,87009,36389,0.01,0.10
IsAllPositive.sy,3,3052,3424656228,789716314,9.39,821.21
user_names_simple.sy,1,7,399,399,0.02,0.01
user_names_simple.sy,2,41,60480,60480,0.01,0.08
user_names_simple.sy,3,2190,2533937334,2378097722,6.10,1618.61
abcd.sy,1,8,584,584,0.03,0.01
abcd.sy,2,218,2763133,2211639,0.02,1.77
abc.sy,1,7,399,399,0.03,0.01
abc.sy,2,165,1201944,945245,0.01,0.45
ab.sy,1,6,258,258,0.03,0.01
MoveFromAToB.sy,1,6,258,258,0.03,0.01
MoveFromAToB.sy,2,61,208661,126923,0.01,0.13
count-total-words-in-a-cellmodified.sy,1,5,155,155,0.03,0.01
count-total-words-in-a-cellmodified.sy,2,36,40336,33206,0.01,0.06
NegativeIndex.sy,1,6,258,258,0.03,0.00
NegativeIndex.sy,2,63,230497,177357,0.01,0.17
