Task,Iteration,Bank size,Total programs,Valid sequences,Took without embedding,Took with embedding
binary_search_tree_delete_two_children.sy,1,6,10,10,0.02,0.02
binary_search_tree_delete_two_children.sy,2,27,312,220,0.00,0.01
binary_search_tree_delete_two_children.sy,3,270,38686,2904,0.00,0.12
binary_search_tree_delete_two_children.sy,4,4193,9695374,63096,0.06,11.20
graph_cycle.sy,1,7,399,399,0.03,0.03
graph_cycle.sy,2,36,30380,15487,0.01,0.20
graph_cycle.sy,3,439,36674080,4867089,0.14,47.60
graph_one_way_connected.sy,1,7,399,399,0.03,0.02
graph_one_way_connected.sy,2,30,15896,12257,0.01,0.18
graph_one_way_connected.sy,3,341,12364051,6335187,0.06,30.50
graph.sy,1,7,399,399,0.02,0.02
graph.sy,2,32,20058,17776,0.01,0.11
graph.sy,3,351,14566509,9909850,0.07,31.83
user_names_aliasing.sy,1,7,399,399,0.03,0.02
user_names_aliasing.sy,2,41,60480,60480,0.01,0.08
user_names_aliasing.sy,3,2192,2567540994,2409673380,5.93,1955.87
user_names_connected.sy,1,8,583,583,0.03,0.02
user_names_connected.sy,2,42,65056,65056,0.01,0.18
user_names_connected.sy,3,2204,2539512698,2383078081,7.01,1671.33
x_y_mut_inc.sy,1,6,258,258,0.03,0.01
x_y_mut_inc.sy,2,62,198268,126108,0.01,0.11
set_subtree.sy,1,6,258,258,0.03,0.01
set_subtree.sy,2,56,160166,97816,0.01,0.58
seq.sy,1,6,258,258,0.03,0.01
seq.sy,2,51,119838,79155,0.01,0.11
FirstAndLast.sy,1,5,155,155,0.03,0.01
FirstAndLast.sy,2,47,93040,42331,0.01,0.07
FirstAndLast.sy,3,2570,2693262531,808099108,7.26,654.68
IsAllPositive.sy,1,5,155,155,0.02,0.01
IsAllPositive.sy,2,46,87009,37005,0.01,0.10
IsAllPositive.sy,3,3063,3424656228,790949219,8.71,903.43
user_names_simple.sy,1,7,399,399,0.03,0.01
user_names_simple.sy,2,41,60480,60480,0.01,0.08
user_names_simple.sy,3,2203,2533937334,2378113579,7.00,1558.16
abcd.sy,1,8,584,584,0.03,0.01
abcd.sy,2,182,1533608,1198810,0.01,0.61
abc.sy,1,7,399,399,0.03,0.01
abc.sy,2,136,866081,669767,0.01,0.64
ab.sy,1,6,258,258,0.03,0.01
MoveFromAToB.sy,1,6,258,258,0.03,0.01
MoveFromAToB.sy,2,61,208661,126757,0.01,0.16
count-total-words-in-a-cellmodified.sy,1,5,155,155,0.03,0.01
count-total-words-in-a-cellmodified.sy,2,38,47830,39694,0.01,0.07
NegativeIndex.sy,1,6,258,258,0.03,0.00
NegativeIndex.sy,2,66,266038,206493,0.01,0.20
