Task,Iteration,Bank size,Total programs,Valid sequences,Took without embedding,Took with embedding
binary_search_tree_unlink_leaf.sy,1,5,155,155,0.03,0.01
binary_search_tree_unlink_leaf.sy,2,26,12563,10397,0.01,0.07
graph_cycle.sy,1,7,399,399,0.03,0.03
graph_cycle.sy,2,36,30380,15252,0.02,0.20
graph_cycle.sy,3,438,36674080,4605556,0.23,40.18
graph_one_way_connected.sy,1,7,399,399,0.02,0.03
graph_one_way_connected.sy,2,31,17898,13808,0.01,0.20
graph_one_way_connected.sy,3,345,12685924,6608043,0.11,30.92
graph.sy,1,7,399,399,0.02,0.02
graph.sy,2,32,20058,17762,0.01,0.15
graph.sy,3,357,14388144,9766778,0.12,31.65
user_names_aliasing.sy,1,7,399,399,0.03,0.02
user_names_aliasing.sy,2,41,60480,60480,0.01,0.07
user_names_aliasing.sy,3,2184,2561919879,2404009007,5.85,1491.29
user_names_connected.sy,1,8,583,583,0.03,0.02
user_names_connected.sy,2,42,65056,65056,0.01,0.17
user_names_connected.sy,3,2185,2556302213,2398863208,6.03,1585.95
user_names.sy,1,8,583,583,0.03,0.02
user_names.sy,2,42,65056,65056,0.01,0.16
user_names.sy,3,2185,2550697512,2394047378,6.73,1410.02
set_subtree.sy,1,6,258,258,0.03,0.01
set_subtree.sy,2,56,160166,97679,0.02,0.59
user_names_simple.sy,1,7,399,399,0.04,0.01
user_names_simple.sy,2,41,60480,60480,0.01,0.07
user_names_simple.sy,3,2184,2545105770,2388633393,6.87,1604.21
x_y_mut_inc.sy,1,6,258,258,0.04,0.01
x_y_mut_inc.sy,2,48,86906,70447,0.01,0.06
seq.sy,1,6,258,258,0.03,0.01
seq.sy,2,46,86906,61191,0.01,0.07
FirstAndLast.sy,1,5,155,155,0.03,0.01
FirstAndLast.sy,2,47,93040,41891,0.01,0.05
FirstAndLast.sy,3,2570,2675877792,784886117,7.16,522.39
IsAllPositive.sy,1,5,155,155,0.03,0.01
IsAllPositive.sy,2,46,87009,36500,0.01,0.08
IsAllPositive.sy,3,3100,3424656228,764660833,8.01,479.02
abcd.sy,1,8,584,584,0.04,0.01
abcd.sy,2,135,332755,332755,0.01,0.28
abc.sy,1,7,399,399,0.03,0.01
abc.sy,2,105,318725,318725,0.01,0.25
ab.sy,1,6,258,258,0.03,0.01
MoveFromAToB.sy,1,6,258,258,0.03,0.01
MoveFromAToB.sy,2,61,208661,126014,0.01,0.12
count-total-words-in-a-cellmodified.sy,1,5,155,155,0.03,0.01
count-total-words-in-a-cellmodified.sy,2,31,25104,25104,0.01,0.04
NegativeIndex.sy,1,6,258,258,0.03,0.01
NegativeIndex.sy,2,49,105821,105821,0.01,0.09
