Task,Iteration,Bank size,Total programs,Valid sequences,Took without embedding,Took with embedding
graph_1_2.sy,1,7,399,399,0.02,0.02
graph_1_2.sy,2,32,20058,17762,0.01,0.14
graph_1_2.sy,3,354,14211239,9698853,0.07,45.85
graph_one_way_connected_2.sy,1,7,399,399,0.03,0.03
graph_one_way_connected_2.sy,2,31,17890,13800,0.02,0.26
graph_one_way_connected_2.sy,3,359,15296729,7362601,0.11,44.76
graph_1.sy,1,7,399,399,0.02,0.01
graph_1.sy,2,32,20034,17738,0.01,0.09
graph_1.sy,3,333,10531146,6985160,0.08,13.43
graph_1_3.sy,1,7,399,399,0.03,0.02
graph_1_3.sy,2,32,20058,17762,0.01,0.15
graph_1_3.sy,3,354,13861785,9434977,0.10,43.31
graph_cycle_1_1.sy,1,7,399,399,0.02,0.04
graph_cycle_1_1.sy,2,36,30380,15252,0.02,0.31
graph_cycle_1_1.sy,3,438,36674080,4605556,0.14,53.26
graph_cycle_2.sy,1,7,399,399,0.03,0.04
graph_cycle_2.sy,2,36,30380,15252,0.02,0.35
graph_cycle_2.sy,3,475,51171974,6131767,0.22,81.95
graph_2.sy,1,7,399,399,0.02,0.02
graph_2.sy,2,32,20034,17738,0.01,0.15
graph_2.sy,3,349,13012842,8334626,0.11,28.08
graph_one_way_connected_3.sy,1,7,399,399,0.03,0.03
graph_one_way_connected_3.sy,2,31,17890,13800,0.01,0.38
graph_one_way_connected_3.sy,3,365,16240540,7942585,0.08,75.79
graph_one_way_connected_1.sy,1,7,399,399,0.02,0.02
graph_one_way_connected_1.sy,2,31,17890,13800,0.01,0.14
graph_one_way_connected_1.sy,3,337,11576413,5804510,0.11,21.79
graph_3.sy,1,7,399,399,0.03,0.02
graph_3.sy,2,32,20034,17738,0.01,0.21
graph_3.sy,3,355,13347966,8573873,0.07,40.04
graph_1_1.sy,1,7,399,399,0.02,0.02
graph_1_1.sy,2,32,20058,17762,0.02,0.11
graph_1_1.sy,3,354,13861785,9434977,0.11,31.43
graph_cycle_3.sy,1,7,399,399,0.03,0.05
graph_cycle_3.sy,2,36,30380,15252,0.02,0.48
graph_cycle_3.sy,3,482,53268279,6493467,0.24,89.48
graph_one_way_connected_1_2.sy,1,7,399,399,0.03,0.04
graph_one_way_connected_1_2.sy,2,31,17898,13808,0.01,0.31
graph_one_way_connected_1_2.sy,3,345,12685924,6608043,0.10,38.83
graph_one_way_connected_1_3.sy,1,7,399,399,0.02,0.04
graph_one_way_connected_1_3.sy,2,31,17898,13808,0.01,0.23
graph_one_way_connected_1_3.sy,3,345,12849959,6725099,0.07,43.85
graph_cycle_1.sy,1,7,399,399,0.03,0.03
graph_cycle_1.sy,2,36,30380,15252,0.02,0.19
graph_cycle_1.sy,3,438,36674080,4605556,0.18,38.90
graph_one_way_connected_1_1.sy,1,7,399,399,0.03,0.03
graph_one_way_connected_1_1.sy,2,31,17898,13808,0.01,0.23
graph_one_way_connected_1_1.sy,3,345,12685924,6608043,0.10,30.95
graph_cycle_1_2.sy,1,7,399,399,0.02,0.04
graph_cycle_1_2.sy,2,36,30380,15252,0.02,0.42
graph_cycle_1_2.sy,3,438,36674080,4605556,0.13,59.23
graph_cycle_1_3.sy,1,7,399,399,0.02,0.05
graph_cycle_1_3.sy,2,36,30380,15252,0.02,0.46
graph_cycle_1_3.sy,3,438,36674080,4605556,0.23,62.87
