Task,Iteration,Bank size,Total programs,Valid sequences,Took without embedding,Took with embedding
graph_1_2.sy,1,7,399,399,0.03,0.02
graph_1_2.sy,2,32,20058,17762,0.01,0.19
graph_1_2.sy,3,354,13861785,9434977,0.09,44.61
graph_one_way_connected_2.sy,1,7,399,399,0.02,0.04
graph_one_way_connected_2.sy,2,31,17890,13800,0.02,0.26
graph_one_way_connected_2.sy,3,359,15482484,7510994,0.08,47.36
graph_1.sy,1,7,399,399,0.02,0.02
graph_1.sy,2,32,20034,17738,0.02,0.09
graph_1.sy,3,333,10531146,6985160,0.08,12.98
graph_1_3.sy,1,7,399,399,0.02,0.02
graph_1_3.sy,2,32,20058,17762,0.02,0.20
graph_1_3.sy,3,354,13861785,9434977,0.07,49.61
graph_cycle_1_1.sy,1,7,399,399,0.03,0.04
graph_cycle_1_1.sy,2,36,30380,15252,0.02,0.30
graph_cycle_1_1.sy,3,438,37006415,4678135,0.17,46.20
graph_cycle_2.sy,1,7,399,399,0.03,0.04
graph_cycle_2.sy,2,36,30380,15252,0.02,0.25
graph_cycle_2.sy,3,475,51586755,6223681,0.18,69.86
graph_2.sy,1,7,399,399,0.02,0.02
graph_2.sy,2,32,20034,17738,0.02,0.15
graph_2.sy,3,349,13012842,8334626,0.07,28.81
graph_one_way_connected_3.sy,1,7,399,399,0.03,0.03
graph_one_way_connected_3.sy,2,31,17890,13800,0.01,0.37
graph_one_way_connected_3.sy,3,365,16048765,7789379,0.11,73.96
graph_one_way_connected_1.sy,1,7,399,399,0.03,0.02
graph_one_way_connected_1.sy,2,31,17890,13800,0.01,0.15
graph_one_way_connected_1.sy,3,337,11423410,5682403,0.10,22.18
graph_3.sy,1,7,399,399,0.03,0.03
graph_3.sy,2,32,20034,17738,0.02,0.21
graph_3.sy,3,355,13347966,8573873,0.07,37.97
graph_1_1.sy,1,7,399,399,0.03,0.02
graph_1_1.sy,2,32,20058,17762,0.01,0.14
graph_1_1.sy,3,354,13861785,9434977,0.07,28.72
graph_cycle_3.sy,1,7,399,399,0.02,0.05
graph_cycle_3.sy,2,36,30380,15252,0.02,0.47
graph_cycle_3.sy,3,482,53694290,6590811,0.24,89.37
graph_one_way_connected_1_2.sy,1,7,399,399,0.03,0.03
graph_one_way_connected_1_2.sy,2,31,17898,13808,0.02,0.32
graph_one_way_connected_1_2.sy,3,345,12685924,6608043,0.07,42.32
graph_one_way_connected_1_3.sy,1,7,399,399,0.02,0.04
graph_one_way_connected_1_3.sy,2,31,17898,13808,0.02,0.32
graph_one_way_connected_1_3.sy,3,345,12849959,6741755,0.07,43.77
graph_cycle_1.sy,1,7,399,399,0.02,0.03
graph_cycle_1.sy,2,36,30380,15252,0.02,0.19
graph_cycle_1.sy,3,438,36674080,4605556,0.19,43.60
graph_one_way_connected_1_1.sy,1,7,399,399,0.03,0.03
graph_one_way_connected_1_1.sy,2,31,17898,13808,0.01,0.23
graph_one_way_connected_1_1.sy,3,345,12685924,6608043,0.07,30.69
graph_cycle_1_2.sy,1,7,399,399,0.03,0.04
graph_cycle_1_2.sy,2,36,30380,15252,0.02,0.32
graph_cycle_1_2.sy,3,438,37006415,4678135,0.14,56.34
graph_cycle_1_3.sy,1,7,399,399,0.03,0.05
graph_cycle_1_3.sy,2,36,30380,15252,0.02,0.45
graph_cycle_1_3.sy,3,438,36674080,4605556,0.20,68.68
