Task,Iteration,Bank size,Total programs,Valid sequences,Took without embedding,Took with embedding
graph_1_2.sy,1,7,399,399,0.03,0.02
graph_1_2.sy,2,32,20058,17762,0.01,0.20
graph_1_2.sy,3,354,14211239,9698916,0.12,39.79
graph_one_way_connected_2.sy,1,7,399,399,0.03,0.03
graph_one_way_connected_2.sy,2,31,17890,13800,0.02,0.26
graph_one_way_connected_2.sy,3,359,15482484,7510943,0.08,44.01
graph_1.sy,1,7,399,399,0.02,0.01
graph_1.sy,2,32,20034,17738,0.01,0.09
graph_1.sy,3,333,10531146,6985160,0.09,11.78
graph_1_3.sy,1,7,399,399,0.03,0.02
graph_1_3.sy,2,32,20058,17762,0.01,0.19
graph_1_3.sy,3,354,13861785,9434977,0.08,43.40
graph_cycle_1_1.sy,1,7,399,399,0.02,0.04
graph_cycle_1_1.sy,2,36,30380,15252,0.02,0.30
graph_cycle_1_1.sy,3,438,37006415,4678135,0.19,45.93
graph_cycle_2.sy,1,7,399,399,0.03,0.04
graph_cycle_2.sy,2,36,30380,15252,0.02,0.36
graph_cycle_2.sy,3,475,51171974,6131767,0.23,72.62
graph_2.sy,1,7,399,399,0.03,0.02
graph_2.sy,2,32,20034,17738,0.01,0.15
graph_2.sy,3,349,13012842,8334626,0.10,26.28
graph_one_way_connected_3.sy,1,7,399,399,0.02,0.04
graph_one_way_connected_3.sy,2,31,17890,13800,0.01,0.38
graph_one_way_connected_3.sy,3,365,16048765,7789379,0.12,72.88
graph_one_way_connected_1.sy,1,7,399,399,0.03,0.02
graph_one_way_connected_1.sy,2,31,17890,13800,0.01,0.14
graph_one_way_connected_1.sy,3,337,11423410,5682403,0.10,18.80
graph_3.sy,1,7,399,399,0.03,0.03
graph_3.sy,2,32,20034,17738,0.01,0.22
graph_3.sy,3,355,13347966,8573873,0.07,38.46
graph_1_1.sy,1,7,399,399,0.02,0.02
graph_1_1.sy,2,32,20058,17762,0.01,0.14
graph_1_1.sy,3,354,13861785,9434977,0.08,30.20
graph_cycle_3.sy,1,7,399,399,0.02,0.05
graph_cycle_3.sy,2,36,30380,15252,0.02,0.49
graph_cycle_3.sy,3,482,53268279,6493467,0.19,91.84
graph_one_way_connected_1_2.sy,1,7,399,399,0.02,0.04
graph_one_way_connected_1_2.sy,2,31,17898,13808,0.01,0.31
graph_one_way_connected_1_2.sy,3,345,12685924,6608043,0.07,39.94
graph_one_way_connected_1_3.sy,1,7,399,399,0.02,0.04
graph_one_way_connected_1_3.sy,2,31,17898,13808,0.01,0.33
graph_one_way_connected_1_3.sy,3,345,12685924,6608043,0.07,44.75
graph_cycle_1.sy,1,7,399,399,0.02,0.03
graph_cycle_1.sy,2,36,30380,15252,0.01,0.19
graph_cycle_1.sy,3,438,36674080,4605556,0.18,38.09
graph_one_way_connected_1_1.sy,1,7,399,399,0.03,0.03
graph_one_way_connected_1_1.sy,2,31,17898,13808,0.01,0.24
graph_one_way_connected_1_1.sy,3,345,12849959,6741798,0.11,34.11
graph_cycle_1_2.sy,1,7,399,399,0.03,0.04
graph_cycle_1_2.sy,2,36,30380,15252,0.02,0.42
graph_cycle_1_2.sy,3,438,36674080,4605556,0.19,63.69
graph_cycle_1_3.sy,1,7,399,399,0.03,0.04
graph_cycle_1_3.sy,2,36,30380,15252,0.02,0.43
graph_cycle_1_3.sy,3,438,36674080,4605556,0.14,60.18
