Task,Iteration,Bank size,Total programs,Valid sequences,Took without embedding,Took with embedding
graph_cycle_1.sy,1,7,399,399,0.03,0.03
graph_cycle_1.sy,2,36,30380,15517,0.02,0.22
graph_cycle_1.sy,3,453,36674080,4906940,0.24,47.98
graph_one_way_connected_1_2.sy,1,7,399,399,0.03,0.03
graph_one_way_connected_1_2.sy,2,31,17898,13858,0.01,0.34
graph_one_way_connected_1_2.sy,3,346,12685924,6563663,0.10,41.76
graph_one_way_connected_1_3.sy,1,7,399,399,0.03,0.04
graph_one_way_connected_1_3.sy,2,31,17898,13857,0.01,0.34
graph_one_way_connected_1_3.sy,3,333,12849965,6726623,0.07,47.19
graph_cycle_2.sy,1,7,399,399,0.03,0.03
graph_cycle_2.sy,2,36,30380,15459,0.02,0.37
graph_cycle_2.sy,3,475,51171974,6635845,0.22,87.74
graph_1_1.sy,1,7,399,399,0.03,0.02
graph_1_1.sy,2,32,20058,17831,0.01,0.15
graph_1_1.sy,3,352,13861785,9438033,0.11,31.09
graph_one_way_connected_1_1.sy,1,7,399,399,0.03,0.02
graph_one_way_connected_1_1.sy,2,30,15896,12298,0.01,0.22
graph_one_way_connected_1_1.sy,3,355,12851968,6665703,0.09,35.31
graph_3.sy,1,7,399,399,0.02,0.02
graph_3.sy,2,32,20034,17781,0.01,0.22
graph_3.sy,3,362,13688786,8842109,0.11,44.99
graph_cycle_1_2.sy,1,7,399,399,0.03,0.04
graph_cycle_1_2.sy,2,36,30380,15516,0.01,0.45
graph_cycle_1_2.sy,3,447,36674080,4883197,0.18,59.33
graph_one_way_connected_1.sy,1,7,399,399,0.02,0.02
graph_one_way_connected_1.sy,2,32,20050,15344,0.02,0.14
graph_one_way_connected_1.sy,3,345,11574252,5700368,0.07,22.39
graph_1_3.sy,1,7,399,399,0.02,0.02
graph_1_3.sy,2,32,20058,17809,0.01,0.19
graph_1_3.sy,3,352,13861785,9439577,0.07,41.45
graph_1.sy,1,7,399,399,0.03,0.01
graph_1.sy,2,32,20034,17787,0.01,0.09
graph_1.sy,3,340,10531146,6998798,0.07,12.06
graph_cycle_1_1.sy,1,7,399,399,0.02,0.04
graph_cycle_1_1.sy,2,36,30380,15526,0.01,0.32
graph_cycle_1_1.sy,3,453,36674080,4907393,0.14,52.86
graph_cycle_3.sy,1,7,399,399,0.02,0.05
graph_cycle_3.sy,2,36,30380,15381,0.01,0.51
graph_cycle_3.sy,3,482,53694290,7072951,0.22,98.75
graph_2.sy,1,7,399,399,0.03,0.02
graph_2.sy,2,32,20034,17734,0.01,0.15
graph_2.sy,3,349,13012842,8353203,0.07,28.69
graph_cycle_1_3.sy,1,7,399,399,0.03,0.04
graph_cycle_1_3.sy,2,36,30380,15519,0.01,0.46
graph_cycle_1_3.sy,3,447,36674080,4895671,0.21,67.84
graph_one_way_connected_2.sy,1,7,399,399,0.03,0.03
graph_one_way_connected_2.sy,2,31,17890,13789,0.01,0.28
graph_one_way_connected_2.sy,3,361,15669743,7639108,0.11,45.85
graph_1_2.sy,1,7,399,399,0.03,0.02
graph_1_2.sy,2,32,20058,17837,0.02,0.18
graph_1_2.sy,3,352,13861785,9437026,0.10,39.05
graph_one_way_connected_3.sy,1,7,399,399,0.03,0.04
graph_one_way_connected_3.sy,2,31,17890,13812,0.01,0.39
graph_one_way_connected_3.sy,3,372,16048765,7819237,0.10,80.19
