Task,Iteration,Bank size,Total programs,Valid sequences,Took without embedding,Took with embedding
graph_cycle_1.sy,1,7,399,399,0.03,0.03
graph_cycle_1.sy,2,36,30380,15437,0.01,0.15
graph_cycle_1.sy,3,439,37006415,4915662,0.14,45.10
graph_one_way_connected_1_2.sy,1,7,399,399,0.02,0.03
graph_one_way_connected_1_2.sy,2,30,15896,12287,0.01,0.28
graph_one_way_connected_1_2.sy,3,346,12851968,6668848,0.06,43.80
graph_one_way_connected_1_3.sy,1,7,399,399,0.03,0.03
graph_one_way_connected_1_3.sy,2,30,15896,12282,0.01,0.28
graph_one_way_connected_1_3.sy,3,346,12851968,6700142,0.07,47.59
graph_cycle_2.sy,1,7,399,399,0.02,0.04
graph_cycle_2.sy,2,36,30380,15371,0.02,0.36
graph_cycle_2.sy,3,481,51171974,6589002,0.22,75.29
graph_1_1.sy,1,7,399,399,0.03,0.02
graph_1_1.sy,2,32,20058,17793,0.01,0.14
graph_1_1.sy,3,354,13861785,9436229,0.08,30.97
graph_one_way_connected_1_1.sy,1,7,399,399,0.03,0.03
graph_one_way_connected_1_1.sy,2,30,15896,12319,0.01,0.21
graph_one_way_connected_1_1.sy,3,344,12525292,6454557,0.10,35.39
graph_3.sy,1,7,399,399,0.03,0.02
graph_3.sy,2,32,20034,17799,0.01,0.21
graph_3.sy,3,353,13517661,8714485,0.10,39.34
graph_cycle_1_2.sy,1,7,399,399,0.02,0.04
graph_cycle_1_2.sy,2,36,30380,15475,0.01,0.44
graph_cycle_1_2.sy,3,439,36674080,4870480,0.20,59.51
graph_one_way_connected_1.sy,1,7,399,399,0.03,0.01
graph_one_way_connected_1.sy,2,32,20050,15381,0.01,0.14
graph_one_way_connected_1.sy,3,337,12199912,6150135,0.07,23.91
graph_1_3.sy,1,7,399,399,0.03,0.02
graph_1_3.sy,2,32,20058,17838,0.01,0.20
graph_1_3.sy,3,355,13861785,9437288,0.10,46.98
graph_1.sy,1,7,399,399,0.03,0.01
graph_1.sy,2,32,20034,17771,0.01,0.09
graph_1.sy,3,340,10531146,6995519,0.06,12.09
graph_cycle_1_1.sy,1,7,399,399,0.03,0.04
graph_cycle_1_1.sy,2,36,30380,15502,0.01,0.32
graph_cycle_1_1.sy,3,450,36674080,4876021,0.14,53.08
graph_cycle_3.sy,1,7,399,399,0.03,0.04
graph_cycle_3.sy,2,36,30380,15501,0.01,0.52
graph_cycle_3.sy,3,493,53268279,6977445,0.25,112.32
graph_2.sy,1,7,399,399,0.03,0.02
graph_2.sy,2,32,20034,17747,0.01,0.15
graph_2.sy,3,355,12847401,8233205,0.09,29.08
graph_cycle_1_3.sy,1,7,399,399,0.03,0.04
graph_cycle_1_3.sy,2,36,30380,15473,0.02,0.47
graph_cycle_1_3.sy,3,450,36674080,4874880,0.13,63.97
graph_one_way_connected_2.sy,1,7,399,399,0.03,0.02
graph_one_way_connected_2.sy,2,31,17890,13814,0.01,0.27
graph_one_way_connected_2.sy,3,355,15482484,7513080,0.12,51.94
graph_1_2.sy,1,7,399,399,0.03,0.02
graph_1_2.sy,2,32,20058,17767,0.01,0.18
graph_1_2.sy,3,354,14035788,9567418,0.10,39.02
graph_one_way_connected_3.sy,1,7,399,399,0.03,0.04
graph_one_way_connected_3.sy,2,30,15888,12312,0.01,0.35
graph_one_way_connected_3.sy,3,364,16050768,7849593,0.11,72.43
