Task,Iteration,Bank size,Total programs,Valid sequences,Took without embedding,Took with embedding
graph_cycle_1.sy,1,7,399,399,0.03,0.03
graph_cycle_1.sy,2,36,30380,15468,0.01,0.19
graph_cycle_1.sy,3,440,36674080,4880329,0.13,44.98
graph_one_way_connected_1_2.sy,1,7,399,399,0.03,0.03
graph_one_way_connected_1_2.sy,2,31,17898,13832,0.01,0.33
graph_one_way_connected_1_2.sy,3,336,12202177,6277873,0.07,42.15
graph_one_way_connected_1_3.sy,1,7,399,399,0.03,0.03
graph_one_way_connected_1_3.sy,2,30,15896,12258,0.01,0.30
graph_one_way_connected_1_3.sy,3,345,12687927,6531360,0.09,43.15
graph_cycle_2.sy,1,7,399,399,0.03,0.04
graph_cycle_2.sy,2,36,30380,15495,0.01,0.35
graph_cycle_2.sy,3,486,51171974,6597602,0.23,86.76
graph_1_1.sy,1,7,399,399,0.03,0.02
graph_1_1.sy,2,32,20058,17806,0.02,0.14
graph_1_1.sy,3,356,14035788,9564393,0.11,35.84
graph_one_way_connected_1_1.sy,1,7,399,399,0.03,0.03
graph_one_way_connected_1_1.sy,2,30,15896,12275,0.01,0.21
graph_one_way_connected_1_1.sy,3,333,12687933,6593593,0.10,35.65
graph_3.sy,1,7,399,399,0.03,0.03
graph_3.sy,2,32,20034,17778,0.01,0.22
graph_3.sy,3,363,13347966,8589687,0.11,39.16
graph_cycle_1_2.sy,1,7,399,399,0.03,0.04
graph_cycle_1_2.sy,2,36,30380,15479,0.01,0.44
graph_cycle_1_2.sy,3,440,36674080,4886672,0.14,57.72
graph_one_way_connected_1.sy,1,7,399,399,0.03,0.02
graph_one_way_connected_1.sy,2,32,20050,15412,0.01,0.14
graph_one_way_connected_1.sy,3,329,11119281,5520502,0.09,18.87
graph_1_3.sy,1,7,399,399,0.02,0.02
graph_1_3.sy,2,32,20058,17787,0.01,0.14
graph_1_3.sy,3,360,14211239,9697461,0.10,42.02
graph_1.sy,1,7,399,399,0.03,0.01
graph_1.sy,2,32,20034,17742,0.01,0.09
graph_1.sy,3,339,10822430,7213388,0.09,14.11
graph_cycle_1_1.sy,1,7,399,399,0.03,0.04
graph_cycle_1_1.sy,2,36,30380,15480,0.02,0.33
graph_cycle_1_1.sy,3,440,36674080,4855536,0.14,48.32
graph_cycle_3.sy,1,7,399,399,0.03,0.05
graph_cycle_3.sy,2,36,30380,15477,0.02,0.54
graph_cycle_3.sy,3,494,53268279,7007429,0.25,104.11
graph_2.sy,1,7,399,399,0.03,0.02
graph_2.sy,2,32,20034,17770,0.01,0.15
graph_2.sy,3,347,13012842,8355333,0.10,26.25
graph_cycle_1_3.sy,1,7,399,399,0.03,0.05
graph_cycle_1_3.sy,2,36,30380,15478,0.01,0.46
graph_cycle_1_3.sy,3,440,37006415,4947756,0.18,74.17
graph_one_way_connected_2.sy,1,7,399,399,0.03,0.03
graph_one_way_connected_2.sy,2,30,15888,12298,0.01,0.23
graph_one_way_connected_2.sy,3,360,15298736,7397885,0.10,47.02
graph_1_2.sy,1,7,399,399,0.03,0.02
graph_1_2.sy,2,32,20058,17789,0.01,0.18
graph_1_2.sy,3,355,14211239,9700492,0.10,38.79
graph_one_way_connected_3.sy,1,7,399,399,0.03,0.04
graph_one_way_connected_3.sy,2,30,15888,12311,0.01,0.34
graph_one_way_connected_3.sy,3,362,16050768,7825460,0.11,73.79
